order_id,company_id,order_date,channel,product_category,gross_amount,fee_amount,net_amount,is_cancelled,is_returned
O10027,C003,2026-01-01,라이브,식품,291092,20271,270821,False,False
O10028,C003,2026-01-01,라이브,생활용품,273349,17110,256239,False,True
O10029,C003,2026-01-01,라이브,식품,391852,20218,371634,False,False
O10030,C003,2026-01-01,라이브,뷰티,263407,16068,247339,False,False
O10031,C003,2026-01-01,라이브,뷰티,207076,13891,193185,False,False
O10032,C004,2026-01-01,오픈마켓,패션잡화,365327,22895,342432,False,True
O10033,C004,2026-01-01,오픈마켓,디지털,286287,10909,275378,False,False
O10034,C004,2026-01-01,오픈마켓,뷰티,266293,15139,251154,False,False
O10035,C004,2026-01-01,오픈마켓,패션잡화,263125,19125,244000,False,False
O10036,C004,2026-01-01,오픈마켓,디지털,92019,3191,88828,False,False
O10037,C004,2026-01-01,오픈마켓,패션잡화,120991,3803,117188,False,False
O10038,C004,2026-01-01,오픈마켓,뷰티,133280,6420,126860,False,False
O10039,C004,2026-01-01,오픈마켓,디지털,402537,11450,391087,False,False
O10040,C004,2026-01-01,오픈마켓,생활용품,153125,11435,141690,False,False
O10041,C005,2026-01-01,자사몰,식품,269928,7928,262000,False,False
O10042,C005,2026-01-01,자사몰,뷰티,229664,11763,217901,False,False
O10043,C005,2026-01-01,자사몰,식품,39842,2516,37326,False,False
O10044,C005,2026-01-01,자사몰,패션잡화,199420,9012,190408,False,False
O10045,C005,2026-01-01,자사몰,디지털,255164,13472,241692,False,False
O10046,C005,2026-01-01,자사몰,디지털,160217,6040,154177,False,False
O10047,C005,2026-01-01,자사몰,생활용품,340282,23190,317092,False,False
O10048,C005,2026-01-01,자사몰,생활용품,192764,5520,187244,False,False
O10049,C005,2026-01-01,자사몰,패션잡화,251028,16569,234459,False,False
O10050,C005,2026-01-01,자사몰,식품,142895,5700,137195,False,False
O10051,C005,2026-01-01,자사몰,디지털,245731,14997,230734,False,False
O10052,C005,2026-01-01,자사몰,패션잡화,116399,4716,111683,False,False
O10053,C005,2026-01-01,자사몰,생활용품,276860,19373,257487,False,False
O10054,C001,2026-01-02,자사몰,생활용품,397515,28181,369334,False,False
O10055,C001,2026-01-02,자사몰,식품,262906,7772,255134,False,False
O10056,C001,2026-01-02,자사몰,패션잡화,269748,8975,260773,False,True
O10057,C001,2026-01-02,자사몰,디지털,135534,9597,125937,False,False
O10058,C001,2026-01-02,자사몰,패션잡화,222365,11878,0,True,False
O10059,C001,2026-01-02,자사몰,패션잡화,139111,3583,135528,False,False
O10060,C002,2026-01-02,오픈마켓,패션잡화,40439,1839,38600,False,False
O10061,C002,2026-01-02,오픈마켓,뷰티,363576,16831,346745,False,False
O10062,C002,2026-01-02,오픈마켓,디지털,123773,8516,115257,False,False
O10063,C002,2026-01-02,오픈마켓,패션잡화,62384,2435,59949,False,True
O10064,C002,2026-01-02,오픈마켓,패션잡화,98891,3974,94917,False,False
O10065,C003,2026-01-02,라이브,생활용품,157992,6800,151192,False,False
O10066,C003,2026-01-02,라이브,디지털,165527,12013,153514,False,False
O10067,C003,2026-01-02,라이브,생활용품,194613,7573,0,True,False
O10068,C003,2026-01-02,라이브,패션잡화,313225,23122,290103,False,False
O10069,C003,2026-01-02,라이브,뷰티,195505,6356,189149,False,False
O10070,C003,2026-01-02,라이브,뷰티,369060,22948,346112,False,False
O10071,C003,2026-01-02,라이브,디지털,256201,18216,0,True,False
O10072,C003,2026-01-02,라이브,패션잡화,121772,4896,116876,False,False
O10073,C003,2026-01-02,라이브,패션잡화,397332,16053,381279,False,False
O10074,C003,2026-01-02,라이브,디지털,230672,14029,216643,False,True
O10075,C004,2026-01-02,오픈마켓,디지털,248229,11080,237149,False,False
O10076,C004,2026-01-02,오픈마켓,뷰티,291754,12690,279064,False,False
O10077,C004,2026-01-02,오픈마켓,식품,348564,17400,331164,False,True
O10078,C004,2026-01-02,오픈마켓,패션잡화,195424,8494,186930,False,False
O10079,C004,2026-01-02,오픈마켓,생활용품,141676,10437,131239,False,False
O10080,C004,2026-01-02,오픈마켓,식품,351207,24600,326607,False,False
O10081,C004,2026-01-02,오픈마켓,생활용품,229834,7690,222144,False,False
O10082,C004,2026-01-02,오픈마켓,패션잡화,359577,23648,335929,False,False
O10083,C004,2026-01-02,오픈마켓,디지털,140726,4115,136611,False,False
O10084,C004,2026-01-02,오픈마켓,생활용품,255318,17119,238199,False,False
O10085,C004,2026-01-02,오픈마켓,생활용품,341006,16787,324219,False,False
O10086,C004,2026-01-02,오픈마켓,생활용품,359003,14722,344281,False,False
O10087,C005,2026-01-02,자사몰,생활용품,333224,12334,320890,False,False
O10088,C005,2026-01-02,자사몰,뷰티,183545,11109,172436,False,False
O10089,C005,2026-01-02,자사몰,뷰티,225841,6690,219151,False,False
O10090,C005,2026-01-02,자사몰,패션잡화,382914,17955,364959,False,False
O10091,C005,2026-01-02,자사몰,생활용품,176242,6447,169795,False,False
O10092,C005,2026-01-02,자사몰,뷰티,60234,4261,55973,False,False
O10093,C005,2026-01-02,자사몰,패션잡화,180461,12532,167929,False,False
O10094,C005,2026-01-02,자사몰,디지털,322551,12172,310379,False,False
O10095,C005,2026-01-02,자사몰,식품,372396,14624,357772,False,False
O10096,C005,2026-01-02,자사몰,생활용품,173540,6341,167199,False,False
O10097,C005,2026-01-02,자사몰,뷰티,184012,9125,174887,False,False
O10098,C001,2026-01-03,자사몰,디지털,157622,4201,153421,False,False
O10099,C001,2026-01-03,자사몰,패션잡화,161424,9954,151470,False,False
O10100,C001,2026-01-03,자사몰,생활용품,204824,13736,191088,False,False
O10101,C001,2026-01-03,자사몰,식품,362948,26639,336309,False,False
O10102,C001,2026-01-03,자사몰,뷰티,158310,4589,153721,False,False
O10103,C002,2026-01-03,오픈마켓,식품,129994,9325,120669,False,False
O10104,C002,2026-01-03,오픈마켓,뷰티,245660,15475,230185,False,False
O10105,C002,2026-01-03,오픈마켓,패션잡화,305496,12932,292564,False,False
O10106,C002,2026-01-03,오픈마켓,식품,312175,10601,301574,False,False
O10107,C002,2026-01-03,오픈마켓,생활용품,177756,7045,170711,False,False
O10108,C002,2026-01-03,오픈마켓,생활용품,253203,11571,241632,False,False
O10109,C002,2026-01-03,오픈마켓,생활용품,301249,15680,285569,False,False
O10110,C003,2026-01-03,라이브,패션잡화,129506,5804,123702,False,False
O10111,C003,2026-01-03,라이브,디지털,33366,1964,31402,False,True
O10112,C003,2026-01-03,라이브,뷰티,283488,16609,266879,False,False
O10113,C003,2026-01-03,라이브,식품,81200,2245,78955,False,False
O10114,C003,2026-01-03,라이브,디지털,217156,11131,206025,False,False
O10115,C003,2026-01-03,라이브,뷰티,151138,10670,140468,False,False
O10116,C003,2026-01-03,라이브,패션잡화,312322,23325,288997,False,False
O10117,C003,2026-01-03,라이브,디지털,347797,24731,323066,False,False
O10118,C003,2026-01-03,라이브,디지털,273803,12015,261788,False,False
O10119,C003,2026-01-03,라이브,생활용품,390312,27211,363101,False,False
O10120,C004,2026-01-03,오픈마켓,뷰티,355735,14919,340816,False,False
O10121,C004,2026-01-03,오픈마켓,생활용품,351198,17013,334185,False,False
O10122,C004,2026-01-03,오픈마켓,식품,209858,6227,203631,False,False
O10123,C004,2026-01-03,오픈마켓,디지털,384376,16023,368353,False,False
O10124,C004,2026-01-03,오픈마켓,뷰티,103381,3027,100354,False,False
O10125,C004,2026-01-03,오픈마켓,뷰티,34658,1552,33106,False,False
O10126,C004,2026-01-03,오픈마켓,패션잡화,59373,3643,55730,False,False
O10127,C004,2026-01-03,오픈마켓,디지털,198292,10770,187522,False,False
O10128,C004,2026-01-03,오픈마켓,디지털,127923,6025,121898,False,False
O10129,C004,2026-01-03,오픈마켓,생활용품,278177,9849,268328,False,False
O10130,C004,2026-01-03,오픈마켓,뷰티,69701,3154,66547,False,False
O10131,C004,2026-01-03,오픈마켓,뷰티,81156,4188,76968,False,False
O10132,C005,2026-01-03,자사몰,생활용품,384948,20721,364227,False,False
O10133,C005,2026-01-03,자사몰,생활용품,156894,4814,152080,False,False
O10134,C005,2026-01-03,자사몰,패션잡화,320564,19099,301465,False,False
O10135,C005,2026-01-03,자사몰,식품,231874,6209,225665,False,False
O10136,C005,2026-01-03,자사몰,식품,333376,11139,322237,False,False
O10137,C005,2026-01-03,자사몰,생활용품,194377,11176,183201,False,False
O10138,C005,2026-01-03,자사몰,패션잡화,183406,6746,176660,False,False
O10139,C001,2026-01-04,자사몰,식품,395420,17572,377848,False,False
O10140,C001,2026-01-04,자사몰,생활용품,251250,12785,238465,False,False
O10141,C001,2026-01-04,자사몰,뷰티,52699,3173,49526,False,False
O10142,C001,2026-01-04,자사몰,디지털,212097,6933,205164,False,False
O10143,C001,2026-01-04,자사몰,식품,173934,10208,163726,False,False
O10144,C001,2026-01-04,자사몰,생활용품,404777,17179,387598,False,False
O10145,C001,2026-01-04,자사몰,디지털,186767,12645,174122,False,False
O10146,C001,2026-01-04,자사몰,뷰티,372166,23043,349123,False,False
O10147,C001,2026-01-04,자사몰,패션잡화,310869,14943,295926,False,False
O10148,C001,2026-01-04,자사몰,뷰티,337057,17711,319346,False,False
O10149,C002,2026-01-04,오픈마켓,뷰티,280382,7072,273310,False,False
O10150,C002,2026-01-04,오픈마켓,뷰티,281402,15210,266192,False,False
O10151,C002,2026-01-04,오픈마켓,디지털,335651,9903,325748,False,False
O10152,C002,2026-01-04,오픈마켓,패션잡화,81002,5710,75292,False,False
O10153,C002,2026-01-04,오픈마켓,생활용품,36090,2135,33955,False,False
O10154,C002,2026-01-04,오픈마켓,생활용품,175006,9107,165899,False,False
O10155,C002,2026-01-04,오픈마켓,뷰티,78557,2474,76083,False,False
O10156,C002,2026-01-04,오픈마켓,생활용품,264572,16980,247592,False,False
O10157,C002,2026-01-04,오픈마켓,식품,181366,9881,171485,False,False
O10158,C002,2026-01-04,오픈마켓,패션잡화,277828,11248,266580,False,False
O10159,C002,2026-01-04,오픈마켓,디지털,34671,1714,32957,False,False
O10160,C002,2026-01-04,오픈마켓,패션잡화,307208,20128,287080,False,False
O10161,C002,2026-01-04,오픈마켓,생활용품,42375,2832,39543,False,False
O10162,C002,2026-01-04,오픈마켓,패션잡화,156404,6533,149871,False,False
O10163,C003,2026-01-04,라이브,패션잡화,85905,3596,82309,False,True
O10164,C003,2026-01-04,라이브,패션잡화,261536,17651,243885,False,False
O10165,C003,2026-01-04,라이브,식품,68801,3060,65741,False,False
O10166,C003,2026-01-04,라이브,뷰티,295272,20301,274971,False,False
O10167,C003,2026-01-04,라이브,생활용품,223006,15041,207965,False,False
O10168,C003,2026-01-04,라이브,패션잡화,315610,18739,296871,False,False
O10169,C003,2026-01-04,라이브,생활용품,415126,12656,402470,False,False
O10170,C003,2026-01-04,라이브,디지털,59892,3015,56877,False,False
O10171,C003,2026-01-04,라이브,디지털,193915,10841,183074,False,False
O10172,C003,2026-01-04,라이브,식품,112462,3460,109002,False,False
O10173,C003,2026-01-04,라이브,패션잡화,377125,22745,354380,False,True
O10174,C003,2026-01-04,라이브,패션잡화,47906,2329,0,True,False
O10175,C003,2026-01-04,라이브,뷰티,81338,5289,76049,False,False
O10176,C003,2026-01-04,라이브,뷰티,72171,3393,68778,False,False
O10177,C003,2026-01-04,라이브,식품,163198,4759,158439,False,False
O10178,C004,2026-01-04,오픈마켓,패션잡화,247132,9966,237166,False,False
O10179,C004,2026-01-04,오픈마켓,뷰티,106358,7957,98401,False,False
O10180,C004,2026-01-04,오픈마켓,생활용품,127804,9297,118507,False,False
O10181,C004,2026-01-04,오픈마켓,디지털,35417,2164,33253,False,False
O10182,C004,2026-01-04,오픈마켓,디지털,283574,8436,275138,False,False
O10183,C004,2026-01-04,오픈마켓,생활용품,62370,3102,59268,False,False
O10184,C004,2026-01-04,오픈마켓,생활용품,58583,1533,57050,False,False
O10185,C004,2026-01-04,오픈마켓,뷰티,42736,2167,0,True,False
O10186,C004,2026-01-04,오픈마켓,패션잡화,288788,15332,273456,False,False
O10187,C004,2026-01-04,오픈마켓,식품,129158,6227,122931,False,False
O10188,C005,2026-01-04,자사몰,뷰티,78995,5641,73354,False,False
O10189,C005,2026-01-04,자사몰,패션잡화,307621,22122,285499,False,False
O10190,C005,2026-01-04,자사몰,디지털,41071,1340,39731,False,False
O10191,C005,2026-01-04,자사몰,생활용품,408985,20635,388350,False,False
O10192,C005,2026-01-04,자사몰,뷰티,270601,9523,261078,False,False
O10193,C005,2026-01-04,자사몰,디지털,184862,5855,179007,False,True
O10194,C005,2026-01-04,자사몰,패션잡화,185400,7006,178394,False,False
O10195,C005,2026-01-04,자사몰,생활용품,365402,11983,353419,False,False
O10196,C005,2026-01-04,자사몰,식품,314680,19555,295125,False,False
O10197,C005,2026-01-04,자사몰,뷰티,394165,21123,373042,False,False
O10198,C005,2026-01-04,자사몰,뷰티,109103,7183,101920,False,False
O10199,C005,2026-01-04,자사몰,뷰티,266722,10890,255832,False,False
O10200,C005,2026-01-04,자사몰,패션잡화,231086,12264,218822,False,False
O10201,C005,2026-01-04,자사몰,패션잡화,235367,12961,0,True,False
O10202,C001,2026-01-05,자사몰,식품,109323,5435,0,True,False
O10203,C001,2026-01-05,자사몰,디지털,252964,15751,0,True,False
O10204,C001,2026-01-05,자사몰,디지털,157033,9826,147207,False,False
O10205,C001,2026-01-05,자사몰,생활용품,319973,20403,299570,False,False
O10206,C001,2026-01-05,자사몰,디지털,83542,3589,79953,False,False
O10207,C001,2026-01-05,자사몰,생활용품,139111,9040,130071,False,False
O10208,C001,2026-01-05,자사몰,뷰티,67005,2305,64700,False,False
O10209,C001,2026-01-05,자사몰,뷰티,76697,4156,72541,False,False
O10210,C001,2026-01-05,자사몰,식품,159302,8434,150868,False,True
O10211,C001,2026-01-05,자사몰,디지털,37299,1343,35956,False,False
O10212,C002,2026-01-05,오픈마켓,생활용품,104926,2660,102266,False,False
O10213,C002,2026-01-05,오픈마켓,생활용품,278526,20841,257685,False,False
O10214,C002,2026-01-05,오픈마켓,패션잡화,173420,11204,162216,False,False
O10215,C002,2026-01-05,오픈마켓,식품,205145,8928,196217,False,False
O10216,C002,2026-01-05,오픈마켓,디지털,93670,2624,91046,False,False
O10217,C002,2026-01-05,오픈마켓,디지털,310644,16300,294344,False,True
O10218,C002,2026-01-05,오픈마켓,생활용품,411742,30834,380908,False,False
O10219,C002,2026-01-05,오픈마켓,패션잡화,116421,6648,109773,False,False
O10220,C002,2026-01-05,오픈마켓,생활용품,185763,11167,174596,False,False
O10221,C003,2026-01-05,라이브,식품,174158,10453,163705,False,False
O10222,C003,2026-01-05,라이브,식품,231733,6350,0,True,False
O10223,C003,2026-01-05,라이브,뷰티,99118,5149,93969,False,False
O10224,C003,2026-01-05,라이브,디지털,167610,6596,161014,False,False
O10225,C003,2026-01-05,라이브,디지털,373496,18006,355490,False,False
O10226,C004,2026-01-05,오픈마켓,디지털,168482,8827,159655,False,False
O10227,C004,2026-01-05,오픈마켓,식품,63193,4420,58773,False,False
O10228,C004,2026-01-05,오픈마켓,뷰티,195208,7741,187467,False,False
O10229,C004,2026-01-05,오픈마켓,식품,37230,1372,35858,False,False
O10230,C004,2026-01-05,오픈마켓,디지털,128032,4780,123252,False,False
O10231,C004,2026-01-05,오픈마켓,생활용품,354677,24329,330348,False,False
O10232,C004,2026-01-05,오픈마켓,뷰티,378499,14687,0,True,False
O10233,C004,2026-01-05,오픈마켓,식품,54254,1762,52492,False,False
O10234,C004,2026-01-05,오픈마켓,식품,62137,3808,58329,False,False
O10235,C004,2026-01-05,오픈마켓,패션잡화,149106,10566,138540,False,False
O10236,C004,2026-01-05,오픈마켓,식품,153407,7698,145709,False,False
O10237,C004,2026-01-05,오픈마켓,디지털,384236,22393,361843,False,False
O10238,C004,2026-01-05,오픈마켓,디지털,196186,4920,191266,False,False
O10239,C004,2026-01-05,오픈마켓,뷰티,381148,14159,366989,False,True
O10240,C005,2026-01-05,자사몰,뷰티,156062,4961,151101,False,False
O10241,C005,2026-01-05,자사몰,식품,227436,13468,213968,False,True
O10242,C005,2026-01-05,자사몰,패션잡화,273553,17798,255755,False,False
O10243,C005,2026-01-05,자사몰,패션잡화,328317,23868,304449,False,False
O10244,C005,2026-01-05,자사몰,디지털,277386,15323,262063,False,False
O10245,C005,2026-01-05,자사몰,디지털,203212,12008,191204,False,False
O10246,C005,2026-01-05,자사몰,생활용품,51754,1738,50016,False,False
O10247,C005,2026-01-05,자사몰,생활용품,92399,3164,89235,False,False
O10248,C005,2026-01-05,자사몰,생활용품,35874,2091,33783,False,False
O10249,C001,2026-01-06,자사몰,뷰티,317752,13871,303881,False,False
O10250,C001,2026-01-06,자사몰,식품,216025,11447,204578,False,False
O10251,C001,2026-01-06,자사몰,식품,128202,3395,124807,False,False
O10252,C001,2026-01-06,자사몰,뷰티,171421,7096,164325,False,False
O10253,C001,2026-01-06,자사몰,디지털,92961,6352,86609,False,False
O10254,C001,2026-01-06,자사몰,디지털,389094,28680,360414,False,True
O10255,C001,2026-01-06,자사몰,패션잡화,311721,23346,288375,False,False
O10256,C001,2026-01-06,자사몰,생활용품,316443,8036,308407,False,False
O10257,C001,2026-01-06,자사몰,뷰티,83989,3261,80728,False,False
O10258,C001,2026-01-06,자사몰,식품,284517,21003,263514,False,False
O10259,C002,2026-01-06,오픈마켓,디지털,285445,19863,265582,False,False
O10260,C002,2026-01-06,오픈마켓,식품,178222,12073,166149,False,False
O10261,C002,2026-01-06,오픈마켓,패션잡화,214314,15941,198373,False,False
O10262,C002,2026-01-06,오픈마켓,식품,142142,6644,135498,False,False
O10263,C002,2026-01-06,오픈마켓,패션잡화,85194,3850,81344,False,False
O10264,C002,2026-01-06,오픈마켓,식품,170853,5817,165036,False,False
O10265,C002,2026-01-06,오픈마켓,생활용품,106486,4294,102192,False,False
O10266,C002,2026-01-06,오픈마켓,패션잡화,202967,10337,192630,False,True
O10267,C002,2026-01-06,오픈마켓,디지털,131659,4749,126910,False,False
O10268,C003,2026-01-06,라이브,디지털,407266,24394,382872,False,False
O10269,C003,2026-01-06,라이브,식품,355280,21982,333298,False,False
O10270,C003,2026-01-06,라이브,뷰티,150294,10664,139630,False,False
O10271,C003,2026-01-06,라이브,패션잡화,155230,10756,0,True,False
O10272,C003,2026-01-06,라이브,디지털,172042,9494,162548,False,False
O10273,C003,2026-01-06,라이브,패션잡화,90863,5002,85861,False,False
O10274,C003,2026-01-06,라이브,뷰티,237135,13426,223709,False,False
O10275,C003,2026-01-06,라이브,패션잡화,71031,4832,66199,False,False
O10276,C003,2026-01-06,라이브,식품,214909,10868,204041,False,False
O10277,C003,2026-01-06,라이브,식품,256299,16519,239780,False,False
O10278,C003,2026-01-06,라이브,생활용품,380078,19587,360491,False,False
O10279,C003,2026-01-06,라이브,식품,392835,11763,381072,False,False
O10280,C003,2026-01-06,라이브,디지털,395586,26353,0,True,False
O10281,C003,2026-01-06,라이브,디지털,284769,19775,264994,False,False
O10282,C003,2026-01-06,라이브,뷰티,213763,14108,199655,False,False
O10283,C004,2026-01-06,오픈마켓,생활용품,361456,21441,340015,False,False
O10284,C004,2026-01-06,오픈마켓,패션잡화,144714,7948,136766,False,False
O10285,C004,2026-01-06,오픈마켓,패션잡화,179103,11786,167317,False,False
O10286,C004,2026-01-06,오픈마켓,식품,56504,1864,54640,False,False
O10287,C004,2026-01-06,오픈마켓,식품,336801,16255,320546,False,False
O10288,C004,2026-01-06,오픈마켓,디지털,234717,12651,222066,False,False
O10289,C004,2026-01-06,오픈마켓,디지털,348253,9910,338343,False,False
O10290,C005,2026-01-06,자사몰,패션잡화,283225,20446,262779,False,False
O10291,C005,2026-01-06,자사몰,생활용품,94139,3188,90951,False,True
O10292,C005,2026-01-06,자사몰,디지털,304612,10558,294054,False,False
O10293,C005,2026-01-06,자사몰,디지털,376260,16251,360009,False,False
O10294,C005,2026-01-06,자사몰,패션잡화,215556,12489,203067,False,False
O10295,C005,2026-01-06,자사몰,식품,236566,15040,221526,False,False
O10296,C005,2026-01-06,자사몰,패션잡화,95036,2884,92152,False,False
O10297,C005,2026-01-06,자사몰,디지털,112371,7101,105270,False,True
O10298,C001,2026-01-07,자사몰,뷰티,396731,11623,385108,False,False
O10299,C001,2026-01-07,자사몰,생활용품,314099,17613,0,True,False
O10300,C001,2026-01-07,자사몰,생활용품,364194,13833,350361,False,False
O10301,C001,2026-01-07,자사몰,식품,149745,7520,142225,False,False
O10302,C001,2026-01-07,자사몰,디지털,178338,11985,166353,False,False
O10303,C001,2026-01-07,자사몰,식품,291126,11680,279446,False,False
O10304,C002,2026-01-07,오픈마켓,뷰티,46678,2807,43871,False,False
O10305,C002,2026-01-07,오픈마켓,식품,370476,27101,0,True,False
O10306,C002,2026-01-07,오픈마켓,패션잡화,307648,12970,294678,False,False
O10307,C002,2026-01-07,오픈마켓,패션잡화,72556,5249,67307,False,False
O10308,C003,2026-01-07,라이브,디지털,252032,14475,237557,False,False
O10309,C003,2026-01-07,라이브,디지털,161869,7207,154662,False,False
O10310,C003,2026-01-07,라이브,디지털,82277,5618,76659,False,False
O10311,C003,2026-01-07,라이브,생활용품,224322,7101,217221,False,False
O10312,C003,2026-01-07,라이브,패션잡화,229744,14843,214901,False,False
O10313,C003,2026-01-07,라이브,생활용품,156991,6069,150922,False,False
O10314,C003,2026-01-07,라이브,생활용품,265873,14666,251207,False,False
O10315,C003,2026-01-07,라이브,생활용품,295930,22071,0,True,False
O10316,C003,2026-01-07,라이브,생활용품,158090,11357,146733,False,False
O10317,C003,2026-01-07,라이브,디지털,149575,10797,138778,False,False
O10318,C003,2026-01-07,라이브,생활용품,60975,1781,59194,False,False
O10319,C003,2026-01-07,라이브,패션잡화,96059,4258,91801,False,False
O10320,C003,2026-01-07,라이브,식품,324494,14452,310042,False,False
O10321,C003,2026-01-07,라이브,생활용품,357676,20785,336891,False,False
O10322,C004,2026-01-07,오픈마켓,생활용품,123346,3911,119435,False,False
O10323,C004,2026-01-07,오픈마켓,패션잡화,238363,15050,223313,False,False
O10324,C004,2026-01-07,오픈마켓,생활용품,148622,10350,138272,False,False
O10325,C004,2026-01-07,오픈마켓,식품,105003,7691,97312,False,False
O10326,C004,2026-01-07,오픈마켓,식품,187729,5196,182533,False,False
O10327,C004,2026-01-07,오픈마켓,디지털,276413,16517,259896,False,False
O10328,C004,2026-01-07,오픈마켓,패션잡화,300121,20751,279370,False,False
O10329,C004,2026-01-07,오픈마켓,생활용품,145852,4624,141228,False,False
O10330,C005,2026-01-07,자사몰,생활용품,366148,9840,356308,False,False
O10331,C005,2026-01-07,자사몰,패션잡화,212066,10513,201553,False,False
O10332,C005,2026-01-07,자사몰,디지털,150570,11116,139454,False,False
O10333,C005,2026-01-07,자사몰,패션잡화,171235,10611,160624,False,False
O10334,C005,2026-01-07,자사몰,패션잡화,154470,9376,145094,False,False
O10335,C005,2026-01-07,자사몰,패션잡화,279653,17158,262495,False,False
O10336,C005,2026-01-07,자사몰,디지털,166791,11967,154824,False,True
O10337,C005,2026-01-07,자사몰,생활용품,171922,6476,165446,False,False
O10338,C005,2026-01-07,자사몰,패션잡화,356834,9495,347339,False,False
O10339,C005,2026-01-07,자사몰,식품,138372,5108,133264,False,False
O10340,C005,2026-01-07,자사몰,생활용품,328940,14679,314261,False,False
O10341,C005,2026-01-07,자사몰,디지털,283185,9052,274133,False,False
O10342,C005,2026-01-07,자사몰,식품,352807,22581,330226,False,False
O10343,C005,2026-01-07,자사몰,뷰티,94041,6856,87185,False,True
O10344,C005,2026-01-07,자사몰,생활용품,350508,19966,330542,False,False
O10345,C001,2026-01-08,자사몰,식품,261911,6954,254957,False,False
O10346,C001,2026-01-08,자사몰,식품,206606,8731,197875,False,False
O10347,C001,2026-01-08,자사몰,생활용품,182405,12858,169547,False,False
O10348,C001,2026-01-08,자사몰,뷰티,269083,10915,258168,False,False
O10349,C001,2026-01-08,자사몰,식품,236012,13995,222017,False,False
O10350,C001,2026-01-08,자사몰,생활용품,367429,11815,355614,False,False
O10351,C001,2026-01-08,자사몰,식품,382518,17025,365493,False,True
O10352,C001,2026-01-08,자사몰,디지털,318554,22580,295974,False,False
O10353,C001,2026-01-08,자사몰,생활용품,146305,4349,141956,False,False
O10354,C001,2026-01-08,자사몰,생활용품,328472,21349,0,True,False
O10355,C002,2026-01-08,오픈마켓,패션잡화,193516,5701,187815,False,False
O10356,C002,2026-01-08,오픈마켓,패션잡화,165975,8452,157523,False,False
O10357,C002,2026-01-08,오픈마켓,패션잡화,119635,5774,113861,False,False
O10358,C002,2026-01-08,오픈마켓,뷰티,364809,21323,343486,False,False
O10359,C002,2026-01-08,오픈마켓,뷰티,209434,10010,199424,False,False
O10360,C002,2026-01-08,오픈마켓,뷰티,264241,6709,257532,False,False
O10361,C002,2026-01-08,오픈마켓,뷰티,241102,7355,233747,False,False
O10362,C002,2026-01-08,오픈마켓,패션잡화,197009,12203,184806,False,False
O10363,C003,2026-01-08,라이브,생활용품,221729,8416,213313,False,False
O10364,C003,2026-01-08,라이브,패션잡화,276718,17777,258941,False,False
O10365,C003,2026-01-08,라이브,식품,157323,10992,146331,False,False
O10366,C003,2026-01-08,라이브,생활용품,339721,15618,324103,False,False
O10367,C003,2026-01-08,라이브,식품,38237,2813,35424,False,False
O10368,C003,2026-01-08,라이브,디지털,214290,10925,203365,False,False
O10369,C003,2026-01-08,라이브,디지털,76183,5128,71055,False,False
O10370,C004,2026-01-08,오픈마켓,디지털,368474,10728,357746,False,False
O10371,C004,2026-01-08,오픈마켓,식품,47903,2570,45333,False,False
O10372,C004,2026-01-08,오픈마켓,디지털,87797,3551,84246,False,False
O10373,C004,2026-01-08,오픈마켓,패션잡화,354667,18323,0,True,False
